asset_key,relation,dependency_resref,allowed_formats,resolved_format,present,source_bif
projectile:SPEAREX,explosion-animation,SPFIREPI,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:SPEAREX,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:SPEAREX,travel-animation,SPEAR,BAM,BAM,yes,data/OBJAnim.bif
projectile:SPENBLD,travel-animation,SPENBLD,BAM,BAM,yes,data/25SpelAn.bif
projectile:SPGREORB,shadow-animation,SPCHRORB,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPGREORB,travel-animation,SPGREORB,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPKLARBK,explosion-animation,SHAREAB,VEF;VVC;BAM,VVC,yes,data/PATCH26.BIF
projectile:SPKLARBK,travel-animation,TRAVELB,BAM,BAM,yes,data/PATCH26.BIF
projectile:SPKLARBL,palette,STTRAVL1,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPKLARBL,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPKLARCH,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPKLARGO,palette,STTRAVL2,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPKLARGO,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPKLARGR,palette,STTRAVL3,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPKLARGR,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPKLARIC,explosion-animation,SHAREAW,VEF;VVC;BAM,VVC,yes,data/PATCH26.BIF
projectile:SPKLARIC,palette,STTRAVL7,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPKLARIC,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPKLARMA,palette,STTRAVL4,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPKLARMA,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPKLAROR,palette,STTRAVL8,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPKLAROR,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPKLARPU,palette,STTRAVL5,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPKLARPU,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPKLARRE,palette,STTRAVL6,BMP,BMP,yes,data/SPELAnim.bif
projectile:SPKLARRE,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:SPKLARST,palette,STTRAVL9,BMP,BMP,yes,data/PATCH26.BIF
projectile:SPKLARST,travel-animation,TRAVEL,BAM,BAM,yes,data/SPELAnim.bif
projectile:STONE,travel-animation,MAGICSTN,BAM,BAM,yes,data/SPELAnim.bif
projectile:STRMVENG,travel-animation,SPSTRMVA,BAM,BAM,yes,data/25SpelAn.bif
projectile:TRAPBOOM,explosion-animation,SPSETSH,VEF;VVC;BAM,BAM,yes,data/25SpelAn.bif
projectile:TRAPBOOM,ring-animation,SPFLAMES,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:TRAPBOOM,travel-animation,SPSETSCD,BAM,BAM,yes,data/25SpelAn.bif
projectile:TRAPDART,travel-animation,TRDARTST,BAM,BAM,yes,data/SPELAnim.bif
projectile:TRAPGLPN,shadow-animation,SHGLYPH,BAM,BAM,yes,data/SPELAnim.bif
projectile:TRAPGLPN,travel-animation,GLPHWRDT,BAM,BAM,yes,data/SPELAnim.bif
projectile:TRAPGLYP,travel-animation,SPGLYPTI,BAM,BAM,yes,data/SPELAnim.bif
projectile:TRAPSKUL,shadow-animation,SHSKULL,BAM,BAM,yes,data/SPELAnim.bif
projectile:TRAPSKUL,travel-animation,SKLT,BAM,BAM,yes,data/SPELAnim.bif
projectile:TRAPSNAR,travel-animation,TRAPGR,BAM,BAM,yes,data/GUIIcon.bif
projectile:TRAPSPIK,travel-animation,SPSETSCD,BAM,BAM,yes,data/25SpelAn.bif
projectile:TRAPTIME,explosion-animation,SPSETTIH,VEF;VVC;BAM,VVC,yes,data/PATCH26.BIF
projectile:TRAPTIME,travel-animation,SPSETTID,BAM,BAM,yes,data/25SpelAn.bif
projectile:TSKULLNP,shadow-animation,SHSKULL,BAM,BAM,yes,data/SPELAnim.bif
projectile:TSKULLNP,travel-animation,SKLT,BAM,BAM,yes,data/SPELAnim.bif
projectile:UNLYAREA,explosion-animation,SPUNHOLY,VEF;VVC;BAM,VVC,yes,data/Effects.bif
projectile:WEB,travel-animation,WEBENTT,BAM,BAM,yes,data/SPELAnim.bif
projectile:WEB1P,travel-animation,WEBENTT,BAM,BAM,yes,data/SPELAnim.bif
projectile:WILDZONE,explosion-animation,SPGRWHRL,VEF;VVC;BAM,VVC,yes,data/25Effect.bif
projectile:WRITHING,spread-animation,WRITHING,VEF;VVC;BAM,BAM,yes,data/Patch2.bif
projectile:WRITHING,travel-animation,WRITHING,BAM,BAM,yes,data/Patch2.bif
