area_id,animation_occurrences,distinct_animation_resources,animation_resrefs,bam_occurrences,distinct_bams,bam_resrefs,wbm_occurrences,distinct_wbms,wbm_resrefs,pvrz_occurrences,distinct_pvrzs,pvrz_resrefs,external_palette_occurrences,palette_resrefs
OH5300,9,2,FIRE_4;FPIT1L,9,2,FIRE_4;FPIT1L,0,0,,0,0,,0,
OH5400,2,2,AM0411RN;OHDLPORT,2,2,AM0411RN;OHDLPORT,0,0,,0,0,,0,
OH5500,13,3,AM0411RN;OH5500WD;OHDLPORT,12,2,AM0411RN;OHDLPORT,1,1,OH5500WD,0,0,,0,
OH6000,10,7,BUTRFLY;OH6000MD;OH6000MN;OH6000RD;OH6000RN;OH6000WD;OH6000WN,4,1,BUTRFLY,6,6,OH6000MD;OH6000MN;OH6000RD;OH6000RN;OH6000WD;OH6000WN,0,0,,0,
OH6100,13,4,BUTRFLY;FIRE_4;FLIESL;FPIT1M,13,4,BUTRFLY;FIRE_4;FLIESL;FPIT1M,0,0,,0,0,,0,
OH6200,12,2,FIRE_4;FLIESL,12,2,FIRE_4;FLIESL,0,0,,0,0,,0,
OH6400,7,5,BUTRFLY;DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESS,7,5,BUTRFLY;DSTDVL1A;DSTDVL1B;DSTDVL1C;FLIESS,0,0,,0,0,,0,
OH6450,19,1,FIRE_4,19,1,FIRE_4,0,0,,0,0,,0,
OH6460,80,1,FIRE_4,80,1,FIRE_4,0,0,,0,0,,0,
OH7000,21,2,FLAME2L;OH7000BR,20,1,FLAME2L,1,1,OH7000BR,0,0,,0,
OH7200,29,1,FLMM,29,1,FLMM,0,0,,0,0,,0,
OH7300,103,5,AMOH7300;FIRE;FLMM;FPIT1S;OHHNECR,103,5,AMOH7300;FIRE;FLMM;FPIT1S;OHHNECR,0,0,,0,0,,0,
OH8100,94,4,BDFORCEW;FIRE_2B;FIRE_4;FPIT1S,94,4,BDFORCEW;FIRE_2B;FIRE_4;FPIT1S,0,0,,0,0,,0,
OH8200,19,1,FIRE_4,19,1,FIRE_4,0,0,,0,0,,0,
OH8300,17,1,FIRE_4,17,1,FIRE_4,0,0,,0,0,,0,
OH8400,10,1,FIRE_4,10,1,FIRE_4,0,0,,0,0,,0,
OH9000,4,2,FIRE_4;FLAME2S,4,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
