item_resref,item_type,item_type_symbol,visual_layer,animation_code_raw_hex,animation_code,animation_code_valid,body_armor_code,source_bif,locator,source_sha256,candidate_family_count,compatible_animation_count,compatible_animation_ids,candidate_bam_prefixes,resolved_bam_prefixes,unresolved_bam_prefixes,pipeline_ready_prefixes,override_collision,blocker
CHAN20,2,ARMOR,body,3341,3A,yes,3,data/25Items.bif,0x08400069,55310BFA50C14C0397536D471AA964C71749F33D5AEBDAE75005450E4824254F,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,no,
CHAN21,2,ARMOR,body,3341,3A,yes,3,data/25Items.bif,0x0840006A,03E1B40E93154C6D63363C54DE6F415951284D76B96482EE4BE7307C32F020A4,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,no,
CHEVIL10,19,SMSWORD,weapon,2020,,no,,data/25Items.bif,0x0840006B,BA0A3969B43829E1500486BE0F747F38473E0DD22A0F0021B2C47649BB3DAC9B,0,0,,,,,,no,no-compatible-character-family;visual-animation-code-invalid
CHILLT,28,FIST,weapon,2020,,no,,data/Items.bif,0x00100184,296BB4E52FB1086A67C37F346FC9532850E4333BD8356F488009BFE3BD3F3AC7,0,0,,,,,,no,no-compatible-character-family;visual-animation-code-invalid
CHWRAITH,10,RING,,2020,,no,,data/Items.bif,0x00100185,FEA2C659FB5D523F5FA98B5028D889B3D79A0E20F561E366E28BE8A6DE3663B6,0,0,,,,,,no,
CLCK01,32,CLOAK,,2020,,no,,data/Items.bif,0x00100186,65E2AD8124B7A1983685279D344E1FA5227A700F98679B9D2D836B96B298DF70,0,0,,,,,,no,
CLCK02,32,CLOAK,,2020,,no,,data/Items.bif,0x00100187,115D3A570A29A623B5044AEBDFED90F2AD2FAD2275A797E1FCB67CEA58612A6E,0,0,,,,,,no,
CLCK03,32,CLOAK,,2020,,no,,data/Items.bif,0x00100188,B6993591A0DDC0AE0B0C65826307BF90519FFF5EC7A9866127C047CEE06F037F,0,0,,,,,,no,
CLCK04,32,CLOAK,,2020,,no,,data/Items.bif,0x00100189,53C4A26299134A606C3F6E367890B8E3AE13045B1987734CD9FF40135E11CE9C,0,0,,,,,,no,
CLCK05,32,CLOAK,,2020,,no,,data/Items.bif,0x0010018A,A446F0C2985CD38B24B605FE6FF9B3F48042A4837B15BB192D4DA218592FFD3F,0,0,,,,,,no,
CLCK06,32,CLOAK,,2020,,no,,data/Items.bif,0x0010018B,FE6610024392739F269D5215A4479173644A64A916DC5DE2B1A4DD39213D5F79,0,0,,,,,,no,
CLCK07,32,CLOAK,,2020,,no,,data/Items.bif,0x0010018C,02F47FAE2CFBDD9D84FFBB398169AB091D9B44578D26EF18750864FC790025F5,0,0,,,,,,no,
CLCK08,32,CLOAK,,2020,,no,,data/Items.bif,0x0010018D,47AE938F46606468AAFC30D6D39F58428FD28886E1AD3DAC189ED2533C19354C,0,0,,,,,,no,
CLCK09,2,ARMOR,body,3257,2W,yes,2,data/Items.bif,0x0010018E,1CF158CEDFEA15ED86A16FBDC920B336E22250F30C6DBAE364162F6B103586E3,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFB2;CDFT2;CDFW2;CDMB2;CDMT2;CDMW2;CEFB2;CEFT2;CEFW2;CEMB2;CEMT2;CEMW2;CHFB2;CHFT2;CHFW2;CHMB2;CHMT2;CHMW2;CIFB2;CIFT2;CIMB2;CIMT2,CDFB2;CDFT2;CDFW2;CDMB2;CDMT2;CDMW2;CEFB2;CEFT2;CEFW2;CEMB2;CEMT2;CEMW2;CHFB2;CHFT2;CHFW2;CHMB2;CHMT2;CHMW2;CIFB2;CIFT2;CIMB2;CIMT2,,CDFB2;CDFT2;CDFW2;CDMB2;CDMT2;CDMW2;CEFB2;CEFT2;CEFW2;CEMB2;CEMT2;CEMW2;CHFB2;CHFT2;CHFW2;CHMB2;CHMT2;CHMW2;CIFB2;CIFT2;CIMB2;CIMT2,no,
CLCK10,2,ARMOR,body,3257,2W,yes,2,data/Items.bif,0x0010018F,719C715F121B337C101F5EC5AC11829638D1AB9818D1BECEEB2539D077650D73,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFB2;CDFT2;CDFW2;CDMB2;CDMT2;CDMW2;CEFB2;CEFT2;CEFW2;CEMB2;CEMT2;CEMW2;CHFB2;CHFT2;CHFW2;CHMB2;CHMT2;CHMW2;CIFB2;CIFT2;CIMB2;CIMT2,CDFB2;CDFT2;CDFW2;CDMB2;CDMT2;CDMW2;CEFB2;CEFT2;CEFW2;CEMB2;CEMT2;CEMW2;CHFB2;CHFT2;CHFW2;CHMB2;CHMT2;CHMW2;CIFB2;CIFT2;CIMB2;CIMT2,,CDFB2;CDFT2;CDFW2;CDMB2;CDMT2;CDMW2;CEFB2;CEFT2;CEFW2;CEMB2;CEMT2;CEMW2;CHFB2;CHFT2;CHFW2;CHMB2;CHMT2;CHMW2;CIFB2;CIFT2;CIMB2;CIMT2,no,
CLCK11,2,ARMOR,body,3257,2W,yes,2,data/Items.bif,0x00100190,5B94DDBE8236570443C8D4228387D29B66C92E4A2EC89D76E5D4D6C6B9A5C31C,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFB2;CDFT2;CDFW2;CDMB2;CDMT2;CDMW2;CEFB2;CEFT2;CEFW2;CEMB2;CEMT2;CEMW2;CHFB2;CHFT2;CHFW2;CHMB2;CHMT2;CHMW2;CIFB2;CIFT2;CIMB2;CIMT2,CDFB2;CDFT2;CDFW2;CDMB2;CDMT2;CDMW2;CEFB2;CEFT2;CEFW2;CEMB2;CEMT2;CEMW2;CHFB2;CHFT2;CHFW2;CHMB2;CHMT2;CHMW2;CIFB2;CIFT2;CIMB2;CIMT2,,CDFB2;CDFT2;CDFW2;CDMB2;CDMT2;CDMW2;CEFB2;CEFT2;CEFW2;CEMB2;CEMT2;CEMW2;CHFB2;CHFT2;CHFW2;CHMB2;CHMT2;CHMW2;CIFB2;CIFT2;CIMB2;CIMT2,no,
CLCK12,2,ARMOR,body,3357,3W,yes,3,data/Items.bif,0x00100191,7F50EA7813A85C5E734DF25E149F185F6FA75A9A284FB2389E018F611567CA5A,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,no,
CLCK13,2,ARMOR,body,3357,3W,yes,3,data/Items.bif,0x00100192,13128080E7DBA5D48D1EAC80A044DCDF7DD7558F3B1D4577264335D51A7D1069,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,no,
CLCK14,2,ARMOR,body,3357,3W,yes,3,data/Items.bif,0x00100193,7B7005CF7B5E0C5EB716AEA6F3B97EAD0A6A85F567FE4468B8B6841E1FF7981E,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,no,
CLCK15,2,ARMOR,body,3457,4W,yes,4,data/Items.bif,0x00100194,2BAC307C5A0E8DE640211AEFD8E7E5B36283004D873FA1A43DA9869904F14F18,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,no,
CLCK16,2,ARMOR,body,3457,4W,yes,4,data/Items.bif,0x00100195,9ED63CED6FE182BF77CF7A1E5A9CB718BB1106406448663E1BCB26765E61D9F5,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,no,
CLCK17,2,ARMOR,body,3457,4W,yes,4,data/Items.bif,0x00100196,6913887665887B1C2468606C82E74418DFD43DC7A59ED18EFEFD8AA182708680,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,no,
CLCK18,2,ARMOR,body,3357,3W,yes,3,data/Items.bif,0x00100197,D960B3079F6805A956A026B2B3D0CBB7B7A4A08F7C27ED6B02D812C11A88A3A3,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,no,
CLCK19,2,ARMOR,body,3457,4W,yes,4,data/Items.bif,0x00100198,4137A0DBA1ABE83C2AAD3890441F7C93EC4F6879011AFB12E5B7948B55F83368,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,no,
CLCK20,32,CLOAK,,2020,,no,,data/Items.bif,0x00100199,0FE040DDA45DB5266470FAA48507BF4542A2DE1B9768B6E1E5A3FE9BDCFC21EC,0,0,,,,,,no,
CLCK21,32,CLOAK,,2020,,no,,data/Items.bif,0x0010019A,5FFCF5DA3F2F7BEF61AA8AE301BCF2525F81225BDE985BC9E438909A9B539CD7,0,0,,,,,,no,
CLCK22,32,CLOAK,,2020,,no,,data/Items.bif,0x0010019B,43DE2E482D5DAE0A5D188562ABA81F47EA9CE2714AAC7FE43CFADB92DF03107F,0,0,,,,,,no,
CLCK23,32,CLOAK,,2020,,no,,data/Items.bif,0x0010019C,605BE0319443BE5FB713EFFC50EA3ADA78E9892E52EAB4C63716A8495B939412,0,0,,,,,,no,
CLCK24,32,CLOAK,,2020,,no,,data/Items.bif,0x0010019D,C58969B365B5AD6170EF89B9DDFB196326C29E8096CD91ACFC400565B66B7AF0,0,0,,,,,,no,
CLCK25,32,CLOAK,,2020,,no,,data/Items.bif,0x0010019E,9063091970AB6C3C449BFCD9BC747CE4F964B3346CD644184191782AB678DE23,0,0,,,,,,no,
CLCK26,32,CLOAK,,2020,,no,,data/Items.bif,0x0010019F,7FA8B0FD17C05C9FF144CC7C1547B93487379366C7B35F302BFEBD853FA36CB4,0,0,,,,,,no,
CLCK27,32,CLOAK,,2020,,no,,data/Items.bif,0x001001A0,74F2B80867F97783896B32AA93E9746596886B5975E5ED0E68F6E4DE71B43046,0,0,,,,,,no,
CLCK28,32,CLOAK,,3257,2W,yes,,data/Items.bif,0x001001A1,A8CD6A9AC04A0505D697667C03225175D2B7CA0B18B165A596F9160F125B813D,0,0,,,,,,no,
