owner_format,owner_resref,role,icon_resref
ITM,SHLD01,item-description,CSHLD25
ITM,SHLD02,item-description,CSHLD25
ITM,SHLD11,item-description,CSHLD25
ITM,SHLD12,item-description,CSHLD25
ITM,SHLD27A,item-description,CSHLD27
ITM,SHLD32,item-description,CSHLD27
ITM,WA2SHIEL,item-description,CSHLD27
ITM,SHLD28,item-description,CSHLD28
ITM,SHLD04P,item-description,CSHLD29
ITM,SHLD29,item-description,CSHLD29
ITM,SHLD05,item-description,CSHLD30
ITM,SHLD06,item-description,CSHLD30
ITM,SHLD15,item-description,CSHLD30
ITM,SHLD16,item-description,CSHLD30
ITM,SHLD19,item-description,CSHLD30
ITM,SHLD30,item-description,CSHLD30
ITM,SHLD03,item-description,CSHLDM0
ITM,SHLD04,item-description,CSHLDM0
ITM,SHLD13,item-description,CSHLDM0
ITM,SHLD14,item-description,CSHLDM0
ITM,SLNG01,item-description,CSLNG01
ITM,SLNG02,item-description,CSLNG02
ITM,SLNG03,item-description,CSLNG03
ITM,SLNG04,item-description,CSLNG04
ITM,SLNG10,item-description,CSLNG04
ITM,SLNG05,item-description,CSLNG05
ITM,SLNG06,item-description,CSLNG06
ITM,SLNG07,item-description,CSLNG07
ITM,WASLING,item-description,CSLNG07
ITM,HGSALF,item-description,CSPER01
ITM,KUOSPER,item-description,CSPER01
ITM,PLYSALA,item-description,CSPER01
ITM,RODSPEAR,item-description,CSPER01
ITM,SAHSPEAR,item-description,CSPER01
ITM,SALACOLD,item-description,CSPER01
ITM,SALASPER,item-description,CSPER01
ITM,SALGRFIR,item-description,CSPER01
ITM,SALGRICE,item-description,CSPER01
ITM,SPER01,item-description,CSPER01
ITM,SPER04,item-description,CSPER01
ITM,STAF07,item-description,CSPER01
ITM,TASLOIIL,item-description,CSPER01
ITM,SPER02,item-description,CSPER02
ITM,SPER03,item-description,CSPER03
ITM,SPER05,item-description,CSPER05
ITM,WASPEAR,item-description,CSPER05
ITM,SPER06,item-description,CSPER06
ITM,SPER07,item-description,CSPER07
ITM,SPER08,item-description,CSPER08
ITM,SPERMEL,item-description,CSPER08
ITM,SPER09,item-description,CSPER09
ITM,SPER10,item-description,CSPER10
ITM,HGWRA01,item-description,CSTAF01
ITM,MISC9O,item-description,CSTAF01
ITM,SAHSTAFF,item-description,CSTAF01
ITM,STAF01,item-description,CSTAF01
ITM,STAF03,item-description,CSTAF01
ITM,STAF04,item-description,CSTAF01
ITM,ENSTAFF,item-description,CSTAF02
ITM,STAF02,item-description,CSTAF02
ITM,STAF05,item-description,CSTAF02
ITM,STAF08,item-description,CSTAF02
ITM,STAFN1,item-description,CSTAF02
ITM,STAF09,item-description,CSTAF09
ITM,STAF10,item-description,CSTAF10
ITM,STAF12,item-description,CSTAF12
ITM,STAF13,item-description,CSTAF13
ITM,STAF14,item-description,CSTAF14
ITM,STAF15,item-description,CSTAF15
ITM,STAF16,item-description,CSTAF16
ITM,STAF17,item-description,CSTAF17
ITM,OHBSTAF1,item-description,CSTAF18
ITM,STAF18,item-description,CSTAF18
ITM,STAF24,item-description,CSTAF18
ITM,STAF19,item-description,CSTAF19
ITM,STAF20,item-description,CSTAF19
ITM,COMPS01,item-description,CSW1H01
ITM,SW1H01,item-description,CSW1H01
ITM,SW1H99,item-description,CSW1H01
ITM,COMPS02,item-description,CSW1H02
ITM,SHARSWD,item-description,CSW1H02
ITM,SW1H02,item-description,CSW1H02
ITM,COMPS03,item-description,CSW1H03
ITM,COMPS72,item-description,CSW1H03
ITM,OHDSW03,item-description,CSW1H03
ITM,SW1H03,item-description,CSW1H03
ITM,SW1H72,item-description,CSW1H03
ITM,SW1H04,item-description,CSW1H04
ITM,SW1H12,item-description,CSW1H04
ITM,SWUDROP,item-description,CSW1H04
ITM,BDSW1H06,item-description,CSW1H05
ITM,COMPS18,item-description,CSW1H05
ITM,ENSW1H01,item-description,CSW1H05
ITM,OHDHSWD,item-description,CSW1H05
ITM,RODSWORD,item-description,CSW1H05
ITM,SW1H05,item-description,CSW1H05
ITM,SW1H18,item-description,CSW1H05
ITM,SW1H19,item-description,CSW1H05
ITM,SW1H73,item-description,CSW1H05
ITM,SW1H77,item-description,CSW1H05
ITM,TTSWORD1,item-description,CSW1H05
ITM,SW1H06,item-description,CSW1H06
ITM,SW1H33A,item-description,CSW1H06
ITM,TELSWD,item-description,CSW1H06
ITM,ISW1H07,item-description,CSW1H07
ITM,SAHZOM01,item-description,CSW1H07
ITM,SW1H07,item-description,CSW1H07
ITM,SW1H17,item-description,CSW1H07
ITM,SW1H21,item-description,CSW1H07
ITM,XVARTIL,item-description,CSW1H07
ITM,ZOMSEA,item-description,CSW1H07
ITM,ARROPHEO,item-description,CSW1H08
ITM,BOWPHEO,item-description,CSW1H08
ITM,ENSW1H02,item-description,CSW1H08
ITM,MYBOLT,item-description,CSW1H08
ITM,SW1H08,item-description,CSW1H08
ITM,SW1H14,item-description,CSW1H08
ITM,SW1H98,item-description,CSW1H08
ITM,SHAKTI1,item-description,CSW1H09
ITM,SW1H09,item-description,CSW1H09
ITM,SW1H74,item-description,CSW1H09
ITM,CHALCY1,item-description,CSW1H10
ITM,CHALCY2,item-description,CSW1H10
ITM,OHBREW05,item-description,CSW1H10
ITM,STDEATH,item-description,CSW1H10
ITM,SW1H10,item-description,CSW1H10
ITM,SBLADE,item-description,CSW1H13
ITM,SW1H13,item-description,CSW1H13
ITM,SW1H15,item-description,CSW1H15
ITM,SW1H16,item-description,CSW1H15
ITM,SW1H52,item-description,CSW1H15
ITM,SW1H68A,item-description,CSW1H15
ITM,SW1H68C,item-description,CSW1H15
ITM,SW1H69C,item-description,CSW1H15
ITM,SW1HWK,item-description,CSW1H15
ITM,OHHSCIM,item-description,CSW1H20
ITM,OHSW1H55,item-description,CSW1H20
ITM,SW1H20,item-description,CSW1H20
ITM,SW1H22,item-description,CSW1H20
ITM,SW1H56,item-description,CSW1H20
ITM,SW1H23,item-description,CSW1H23
ITM,MARILI,item-description,CSW1H24
ITM,SW1H24,item-description,CSW1H24
ITM,SW1H53,item-description,CSW1H24
ITM,SW1H25,item-description,CSW1H25
ITM,SW1H26,item-description,CSW1H26
ITM,SW1H27,item-description,CSW1H27
ITM,SW1H28,item-description,CSW1H28
ITM,SW1H29,item-description,CSW1H29
ITM,MISC9Q,item-description,CSW1H30
ITM,OHBDORMA,item-description,CSW1H30
ITM,OHBNAJIM,item-description,CSW1H30
ITM,SW1H30,item-description,CSW1H30
ITM,SW1H76,item-description,CSW1H30
ITM,SW1H31,item-description,CSW1H31
ITM,SW1H32,item-description,CSW1H32
ITM,SW1H33,item-description,CSW1H33
ITM,SW1H33C,item-description,CSW1H33
ITM,COMPS34,item-description,CSW1H34
ITM,SW1H34,item-description,CSW1H34
ITM,SW1H35,item-description,CSW1H35
ITM,SW1H36,item-description,CSW1H36
ITM,COMPS37,item-description,CSW1H37
ITM,SW1H37,item-description,CSW1H37
ITM,COMPS38,item-description,CSW1H38
ITM,SW1H38,item-description,CSW1H38
ITM,COMPS39,item-description,CSW1H39
ITM,SW1H39,item-description,CSW1H39
ITM,SW1H40,item-description,CSW1H40
ITM,WA2S1H,item-description,CSW1H40
ITM,KILLSW01,item-description,CSW1H41
ITM,SW1H41,item-description,CSW1H41
ITM,COMPS42,item-description,CSW1H42
ITM,SW1H42,item-description,CSW1H42
ITM,SW1H43,item-description,CSW1H43
ITM,SW1H44,item-description,CSW1H44
ITM,SW1H55,item-description,CSW1H44
ITM,SW1H75,item-description,CSW1H44
ITM,WA2DAK,item-description,CSW1H44
ITM,SW1H45,item-description,CSW1H45
ITM,SW1H46,item-description,CSW1H46
ITM,OHSW1H51,item-description,CSW1H47
ITM,OHSW1H52,item-description,CSW1H47
ITM,SW1H47,item-description,CSW1H47
ITM,WAWAK,item-description,CSW1H47
ITM,SW1H48,item-description,CSW1H48
ITM,WANINJA,item-description,CSW1H48
ITM,OHSW1H53,item-description,CSW1H49
ITM,OHSW1H54,item-description,CSW1H49
ITM,SW1H49,item-description,CSW1H49
ITM,SW1H50,item-description,CSW1H50
ITM,SW1H51,item-description,CSW1H51
ITM,SW1H54,item-description,CSW1H54
ITM,SW1H54A,item-description,CSW1H54A
ITM,SW1H54B,item-description,CSW1H54B
ITM,SW1H54C,item-description,CSW1H54C
ITM,CATTAC1,item-description,CSW2H01
ITM,GIANTS01,item-description,CSW2H01
ITM,SW2H01,item-description,CSW2H01
ITM,SW2H01B,item-description,CSW2H01
ITM,SW2H05,item-description,CSW2H01
ITM,TTSWORD2,item-description,CSW2H01
ITM,HGBER01,item-description,CSW2H02
ITM,SKELWASU,item-description,CSW2H02
ITM,SW2H02,item-description,CSW2H02
ITM,SW2HD1,item-description,CSW2H02
ITM,SW2H03,item-description,CSW2H03
ITM,SW2H21,item-description,CSW2H03
ITM,SW2H99,item-description,CSW2H03
ITM,CARSOMYR,item-description,CSW2H06
ITM,SW2H06,item-description,CSW2H06
ITM,SW2H20,item-description,CSW2H06
ITM,CDSW2H07,item-description,CSW2H07
ITM,SW2H07,item-description,CSW2H07
ITM,WAS2H,item-description,CSW2H07
ITM,SW2H08,item-description,CSW2H08
ITM,SW2HDEAT,item-description,CSW2H08
ITM,SW2H09,item-description,CSW2H09
ITM,SW2H10,item-description,CSW2H10
ITM,SW2H19,item-description,CSW2H10
ITM,DEMOSUM4,item-description,CSW2H11
ITM,GORCAMB,item-description,CSW2H11
ITM,SW2H11,item-description,CSW2H11
ITM,CHEVIL10,item-description,CSW2H12
ITM,SW2H12,item-description,CSW2H12
ITM,BDSW2H01,item-description,CSW2H13
ITM,SW2H13,item-description,CSW2H13
ITM,SW2H14,item-description,CSW2H14
ITM,DEVAEVIL,item-description,CSW2H15
ITM,GITH,item-description,CSW2H15
ITM,OHBWING,item-description,CSW2H15
ITM,OHBWING2,item-description,CSW2H15
ITM,PLANETAR,item-description,CSW2H15
ITM,SW2H15,item-description,CSW2H15
ITM,SW2H15A,item-description,CSW2H15A
ITM,SW2H16,item-description,CSW2H16
ITM,FRAG01,item-description,CWAND02
ITM,WAND02,item-description,CWAND02
ITM,WAND15,item-description,CWAND02
ITM,PULS01,item-description,CWAND03
ITM,PULS02,item-description,CWAND03
ITM,WAND03,item-description,CWAND03
ITM,WAND99,item-description,CWAND03
ITM,WAND04,item-description,CWAND04
ITM,FLAM01,item-description,CWAND05
ITM,WAND05,item-description,CWAND05
ITM,FROSTY,item-description,CWAND06
ITM,WAND06,item-description,CWAND06
ITM,WAND17,item-description,CWAND06
ITM,LASER,item-description,CWAND07
ITM,LIGHT,item-description,CWAND07
ITM,MISC7J,item-description,CWAND07
ITM,MISC7N,item-description,CWAND07
ITM,WAND07,item-description,CWAND07
ITM,WAND08,item-description,CWAND08
ITM,WAND09,item-description,CWAND09
ITM,WAND10,item-description,CWAND10
ITM,TTWAND,item-description,CWAND11
ITM,WAND11,item-description,CWAND11
ITM,OHDWAND1,item-description,CWAND12
ITM,WAND12,item-description,CWAND12
ITM,WAND13,item-description,CWAND13
ITM,OHBREW03,item-description,CWAND14
ITM,WAND14,item-description,CWAND14
ITM,WINGS01,item-description,CWINGS01
ITM,WINGS01B,item-description,CWINGS01
ITM,KUOBOW,item-description,CXBOW01
ITM,MDK2GUN,item-description,CXBOW01
ITM,MDK2RING,item-description,CXBOW01
ITM,XBOW01,item-description,CXBOW01
ITM,XBOW02,item-description,CXBOW02
ITM,XBOW03,item-description,CXBOW03
ITM,XBOW04,item-description,CXBOW04
ITM,XBOW05,item-description,CXBOW05
ITM,XBOW06,item-description,CXBOW06
ITM,XBOW07,item-description,CXBOW07
ITM,XBOW17,item-description,CXBOW07
ITM,XBOW08,item-description,CXBOW08
ITM,XBOW09,item-description,CXBOW09
ITM,XBOW18,item-description,CXBOW09
ITM,XBOW10,item-description,CXBOW10
ITM,XBOW12,item-description,CXBOW12
ITM,XBOW13,item-description,CXBOW13
ITM,XBOW14,item-description,CXBOW14
SPL,SPWI487,spellbook,ENCHAXEC
SPL,OHDSW0,spellbook,ENCHLSWC
SPL,OHDSW1,spellbook,ENCHLSWC
SPL,OHDSW2,spellbook,ENCHLSWC
SPL,SPWI485,spellbook,ENCHLSWC
SPL,SPWI488,spellbook,ENCHMACC
SPL,SPWI486,spellbook,ENCHSSWC
ITM,FAMCAT,item-inventory,FAMCAT
ITM,FAMCAT25,item-inventory,FAMCAT
ITM,FAMFER,item-inventory,FAMFER
ITM,FAMFER25,item-inventory,FAMFER
ITM,FAMDUS25,item-inventory,FAMIMP
ITM,FAMDUST,item-inventory,FAMIMP
ITM,FAMIMP,item-inventory,FAMIMP
ITM,FAMIMP25,item-inventory,FAMIMP
ITM,FAMQUA25,item-inventory,FAMIMP
ITM,FAMQUAS,item-inventory,FAMIMP
ITM,FAMFAI25,item-inventory,FAMPSD
ITM,FAMFAIR,item-inventory,FAMPSD
ITM,FAMPSD,item-inventory,FAMPSD
ITM,FAMPSD25,item-inventory,FAMPSD
ITM,FAMRAB,item-inventory,FAMRAB
ITM,FAMRAB25,item-inventory,FAMRAB
ITM,GIAFIR3,item-description,FIST
ITM,PLYFIST,item-inventory,FIST
ITM,POLYCARR,item-inventory,FIST
ITM,POLYRAT,item-inventory,FIST
ITM,SPCL238,item-inventory,FIST
ITM,SPCL2381,item-inventory,FIST
ITM,SPCL2382,item-inventory,FIST
ITM,SPCL2383,item-inventory,FIST
ITM,SPCL2384,item-inventory,FIST
ITM,SPCL2385,item-inventory,FIST
ITM,SPCL2386,item-inventory,FIST
ITM,SPCL2387,item-inventory,FIST
ITM,SPCL2388,item-inventory,FIST
ITM,AMUL01,item-ground,GAMUL02
ITM,AMUL02,item-ground,GAMUL02
ITM,AMUL04,item-ground,GAMUL02
ITM,AMUL05,item-ground,GAMUL02
ITM,AMUL06,item-ground,GAMUL02
ITM,AMUL07,item-ground,GAMUL02
ITM,AMUL08,item-ground,GAMUL02
ITM,AMUL09,item-ground,GAMUL02
ITM,AMUL10,item-ground,GAMUL02
ITM,AMUL11,item-ground,GAMUL02
ITM,AMUL12,item-ground,GAMUL02
ITM,AMUL13,item-ground,GAMUL02
ITM,AMUL14,item-ground,GAMUL02
ITM,AMUL15,item-ground,GAMUL02
ITM,AMUL16,item-ground,GAMUL02
ITM,AMUL17,item-ground,GAMUL02
ITM,AMUL18,item-ground,GAMUL02
ITM,AMUL19,item-ground,GAMUL02
ITM,AMUL20,item-ground,GAMUL02
ITM,AMUL21,item-ground,GAMUL02
ITM,AMUL22,item-ground,GAMUL02
ITM,AMUL23,item-ground,GAMUL02
ITM,AMUL24,item-ground,GAMUL02
ITM,AMUL25,item-ground,GAMUL02
ITM,AMUL26,item-ground,GAMUL02
ITM,AMUL27,item-ground,GAMUL02
ITM,AMUL28,item-ground,GAMUL02
ITM,BDAMUL02,item-ground,GAMUL02
ITM,BDAMUL26,item-ground,GAMUL02
ITM,CHALCY3,item-ground,GAMUL02
ITM,COMPON11,item-ground,GAMUL02
ITM,COMPON17,item-ground,GAMUL02
ITM,HELM28,item-ground,GAMUL02
ITM,IPSION,item-ground,GAMUL02
ITM,MAGEAMUL,item-ground,GAMUL02
ITM,MISC4Y,item-ground,GAMUL02
ITM,MISC5E,item-ground,GAMUL02
ITM,MISC5W,item-ground,GAMUL02
ITM,MISC5X,item-ground,GAMUL02
ITM,MISC7R,item-ground,GAMUL02
ITM,MISC7Y,item-ground,GAMUL02
ITM,MISC89,item-ground,GAMUL02
ITM,MISC8L,item-ground,GAMUL02
ITM,MISC9N,item-ground,GAMUL02
ITM,MISCA9,item-ground,GAMUL02
ITM,MISCAA,item-ground,GAMUL02
ITM,MISCAD,item-ground,GAMUL02
ITM,MISCAE,item-ground,GAMUL02
ITM,MISCAN,item-ground,GAMUL02
ITM,MISCB1,item-ground,GAMUL02
ITM,OHHEXAM0,item-ground,GAMUL02
ITM,OHHEXAM1,item-ground,GAMUL02
ITM,OHHEXAM2,item-ground,GAMUL02
ITM,OHHEXAM3,item-ground,GAMUL02
ITM,OHHEXAM4,item-ground,GAMUL02
ITM,OHHEXAM5,item-ground,GAMUL02
ITM,OHHEXAM9,item-ground,GAMUL02
ITM,OHNAMUL1,item-ground,GAMUL02
ITM,OHNAMUL2,item-ground,GAMUL02
ITM,OHNHAIRB,item-ground,GAMUL02
ITM,OHNHELM1,item-ground,GAMUL02
ITM,OHRAMUL1,item-ground,GAMUL02
ITM,OHRHELM1,item-ground,GAMUL02
ITM,REGISAMU,item-ground,GAMUL02
ITM,SARBONE,item-ground,GAMUL02
ITM,WA2AMU,item-ground,GAMUL02
ITM,ANGAROW,item-ground,GAROW01
ITM,AROW01,item-ground,GAROW01
ITM,AROW02,item-ground,GAROW01
ITM,AROW03,item-ground,GAROW01
ITM,AROW04,item-ground,GAROW01
ITM,AROW05,item-ground,GAROW01
ITM,AROW06,item-ground,GAROW01
ITM,AROW07,item-ground,GAROW01
ITM,AROW08,item-ground,GAROW01
ITM,AROW09,item-ground,GAROW01
ITM,AROW10,item-ground,GAROW01
ITM,AROW11,item-ground,GAROW01
ITM,AROW12,item-ground,GAROW01
ITM,AROW14,item-ground,GAROW01
ITM,AROW15,item-ground,GAROW01
ITM,AROW16,item-ground,GAROW01
ITM,AROW1A,item-ground,GAROW01
ITM,AROWKC,item-ground,GAROW01
ITM,ARROPHE2,item-ground,GAROW01
ITM,IAROW01,item-ground,GAROW01
ITM,OHAROW50,item-ground,GAROW01
ITM,QUIV01,item-ground,GAROW01
ITM,QUIVER01,item-ground,GAROW01
ITM,QUIVER03,item-ground,GAROW01
ITM,AX1H01,item-ground,GAX1H01
ITM,AX1H02,item-ground,GAX1H01
ITM,AX1H03,item-ground,GAX1H01
ITM,AX1H04,item-ground,GAX1H01
ITM,AX1H05,item-ground,GAX1H01
ITM,AX1H06,item-ground,GAX1H01
ITM,AX1H07,item-ground,GAX1H01
ITM,AX1H08,item-ground,GAX1H01
ITM,AX1H09,item-ground,GAX1H01
ITM,AX1H10,item-ground,GAX1H01
ITM,AX1H11,item-ground,GAX1H01
ITM,AX1H12,item-ground,GAX1H01
ITM,AX1H13,item-ground,GAX1H01
ITM,AX1H14,item-ground,GAX1H01
ITM,AX1H15,item-ground,GAX1H01
ITM,AX1H16,item-ground,GAX1H01
ITM,AX1H17,item-ground,GAX1H01
ITM,BRUENAXE,item-ground,GAX1H01
ITM,DAX1H01,item-ground,GAX1H01
ITM,ENSW2H,item-ground,GAX1H01
ITM,GIAFIR2,item-ground,GAX1H01
ITM,IAX1H01,item-ground,GAX1H01
ITM,KORAX01,item-ground,GAX1H01
ITM,OHRAX1H1,item-ground,GAX1H01
ITM,WAAXE,item-ground,GAX1H01
ITM,BDBELT02,item-ground,GBELT01
ITM,BDHELM16,item-ground,GBELT01
ITM,BELT01,item-ground,GBELT01
ITM,BELT02,item-ground,GBELT01
ITM,BELT03,item-ground,GBELT01
ITM,BELT04,item-ground,GBELT01
ITM,BELT05,item-ground,GBELT01
ITM,BELT06,item-ground,GBELT01
ITM,BELT07,item-ground,GBELT01
ITM,BELT08,item-ground,GBELT01
ITM,BELT09,item-ground,GBELT01
ITM,BELT10,item-ground,GBELT01
ITM,BELT11,item-ground,GBELT01
ITM,BHAALHP1,item-ground,GBELT01
ITM,BHAALIMM,item-ground,GBELT01
ITM,IMOENHP1,item-ground,GBELT01
ITM,MEL01,item-ground,GBELT01
ITM,MISC99,item-ground,GBELT01
ITM,NEBELT01,item-ground,GBELT01
ITM,OHNCOLL,item-ground,GBELT01
ITM,OHRBELT1,item-ground,GBELT01
ITM,OHRBELT2,item-ground,GBELT01
ITM,OHRROPE1,item-ground,GBELT01
ITM,OHRWHEEL,item-ground,GBELT01
ITM,SAREVIMM,item-ground,GBELT01
ITM,BEARSPIR,item-ground,GBLUN01
ITM,BLUN01,item-ground,GBLUN01
ITM,BLUN10,item-ground,GBLUN01
ITM,BLUN22,item-ground,GBLUN01
ITM,BLUN23,item-ground,GBLUN01
ITM,BLUN24,item-ground,GBLUN01
ITM,BLUN26,item-ground,GBLUN01
ITM,BLUN27,item-ground,GBLUN01
ITM,BLUN31,item-ground,GBLUN01
ITM,BRBLP,item-ground,GBLUN01
ITM,BRBRP,item-ground,GBLUN01
ITM,CDBRBRP,item-ground,GBLUN01
ITM,CDBRBRP2,item-ground,GBLUN01
ITM,CDSQUIRP,item-ground,GBLUN01
ITM,CDWOLFM,item-ground,GBLUN01
ITM,CRITICAL,item-ground,GBLUN01
ITM,HARM,item-ground,GBLUN01
ITM,HSWORD,item-ground,GBLUN01
ITM,LIONSPIR,item-ground,GBLUN01
ITM,OHBBLUN1,item-ground,GBLUN01
ITM,OHBLUN50,item-ground,GBLUN01
ITM,OHBLUN51,item-ground,GBLUN01
ITM,OHRWILC1,item-ground,GBLUN01
ITM,OHRWILC2,item-ground,GBLUN01
ITM,OHRWILC3,item-ground,GBLUN01
ITM,OHRWILC4,item-ground,GBLUN01
ITM,OHRWILC5,item-ground,GBLUN01
ITM,OHRWILT1,item-ground,GBLUN01
ITM,OHRWILT2,item-ground,GBLUN01
ITM,OHRWILT3,item-ground,GBLUN01
ITM,OHRWILT4,item-ground,GBLUN01
ITM,OHRWILT5,item-ground,GBLUN01
ITM,PLYBASS,item-ground,GBLUN01
ITM,PLYBEAR1,item-ground,GBLUN01
ITM,PLYBEAR2,item-ground,GBLUN01
ITM,PLYFIST,item-ground,GBLUN01
ITM,PLYJELLO,item-ground,GBLUN01
ITM,PLYJELLY,item-ground,GBLUN01
ITM,PLYSPID,item-ground,GBLUN01
ITM,PLYSPID2,item-ground,GBLUN01
ITM,PLYWOLF1,item-ground,GBLUN01
ITM,PLYWOLF2,item-ground,GBLUN01
ITM,PLYWYVRN,item-ground,GBLUN01
ITM,POLYCARR,item-ground,GBLUN01
ITM,POLYRAT,item-ground,GBLUN01
ITM,SERIOUS,item-ground,GBLUN01
ITM,SGRASP01,item-ground,GBLUN01
ITM,SGRASP02,item-ground,GBLUN01
ITM,SGRASP03,item-ground,GBLUN01
ITM,SGRASP04,item-ground,GBLUN01
ITM,SGRASP05,item-ground,GBLUN01
ITM,SGRASP06,item-ground,GBLUN01
ITM,SGRASP07,item-ground,GBLUN01
ITM,SGRASP08,item-ground,GBLUN01
ITM,SGRASP09,item-ground,GBLUN01
ITM,SGRASP10,item-ground,GBLUN01
ITM,SGRASP11,item-ground,GBLUN01
ITM,SGRASP12,item-ground,GBLUN01
ITM,SGRASP13,item-ground,GBLUN01
ITM,SGRASP14,item-ground,GBLUN01
ITM,SGRASP15,item-ground,GBLUN01
ITM,SGRASP16,item-ground,GBLUN01
ITM,SGRASP17,item-ground,GBLUN01
ITM,SGRASP18,item-ground,GBLUN01
ITM,SGRASP19,item-ground,GBLUN01
ITM,SGRASP20,item-ground,GBLUN01
ITM,SGRASP21,item-ground,GBLUN01
ITM,SGRASP22,item-ground,GBLUN01
ITM,SGRASP23,item-ground,GBLUN01
ITM,SGRASP24,item-ground,GBLUN01
ITM,SGRASP25,item-ground,GBLUN01
ITM,SGRASP26,item-ground,GBLUN01
ITM,SGRASP27,item-ground,GBLUN01
ITM,SGRASP28,item-ground,GBLUN01
ITM,SGRASP29,item-ground,GBLUN01
ITM,SGRASP30,item-ground,GBLUN01
ITM,SGRASP31,item-ground,GBLUN01
ITM,SGRASP32,item-ground,GBLUN01
ITM,SHILLE,item-ground,GBLUN01
ITM,SKELCLUB,item-ground,GBLUN01
ITM,SLAYLIVE,item-ground,GBLUN01
ITM,SNAKSPIR,item-ground,GBLUN01
ITM,SPBATT1,item-ground,GBLUN01
ITM,SPBATT2,item-ground,GBLUN01
ITM,SPBATT3,item-ground,GBLUN01
ITM,SPBATT4,item-ground,GBLUN01
ITM,SPBATT5,item-ground,GBLUN01
ITM,SPLATT1,item-ground,GBLUN01
ITM,SPLATT2,item-ground,GBLUN01
ITM,SPLATT3,item-ground,GBLUN01
ITM,SPLATT4,item-ground,GBLUN01
ITM,SPLATT5,item-ground,GBLUN01
ITM,SPSATT1,item-ground,GBLUN01
ITM,SPSATT2,item-ground,GBLUN01
ITM,SPSATT3,item-ground,GBLUN01
ITM,SPSATT4,item-ground,GBLUN01
ITM,SPSATT5,item-ground,GBLUN01
ITM,SPWATT1,item-ground,GBLUN01
ITM,SPWATT2,item-ground,GBLUN01
ITM,SPWATT3,item-ground,GBLUN01
ITM,SPWATT4,item-ground,GBLUN01
ITM,SPWATT5,item-ground,GBLUN01
ITM,SQUIRP,item-ground,GBLUN01
ITM,WOLFM,item-ground,GBLUN01
ITM,WOLFSPIR,item-ground,GBLUN01
ITM,WSWOLF,item-ground,GBLUN01
ITM,MISC1H,item-ground,GBLUN02
ITM,BARLFL,item-ground,GBLUN06
ITM,BLUN02,item-ground,GBLUN06
ITM,BLUN03,item-ground,GBLUN06
ITM,BLUN04,item-ground,GBLUN06
ITM,BLUN05,item-ground,GBLUN06
ITM,BLUN06,item-ground,GBLUN06
ITM,BLUN07,item-ground,GBLUN06
ITM,BLUN08,item-ground,GBLUN06
ITM,BLUN09,item-ground,GBLUN06
ITM,BLUN11,item-ground,GBLUN06
ITM,BLUN12,item-ground,GBLUN06
ITM,BLUN13,item-ground,GBLUN06
ITM,BLUN14,item-ground,GBLUN06
ITM,BLUN14D,item-ground,GBLUN06
ITM,BLUN14E,item-ground,GBLUN06
ITM,BLUN14F,item-ground,GBLUN06
ITM,BLUN14G,item-ground,GBLUN06
ITM,BLUN14H,item-ground,GBLUN06
ITM,BLUN14I,item-ground,GBLUN06
ITM,BLUN15,item-ground,GBLUN06
ITM,BLUN16,item-ground,GBLUN06
ITM,BLUN17,item-ground,GBLUN06
ITM,BLUN18,item-ground,GBLUN06
ITM,BLUN19,item-ground,GBLUN06
ITM,BLUN20,item-ground,GBLUN06
ITM,BLUN21,item-ground,GBLUN06
ITM,BLUN25,item-ground,GBLUN06
ITM,BLUN28,item-ground,GBLUN06
ITM,BLUN29,item-ground,GBLUN06
ITM,BLUN30,item-ground,GBLUN06
ITM,BLUN30C,item-ground,GBLUN06
ITM,BLUN30D,item-ground,GBLUN06
ITM,BLUN32,item-ground,GBLUN06
ITM,BLUN33,item-ground,GBLUN06
ITM,BLUN34,item-ground,GBLUN06
ITM,BLUN35,item-ground,GBLUN06
ITM,DEVA,item-ground,GBLUN06
ITM,DWBLUN01,item-ground,GBLUN06
ITM,ENMACE,item-ground,GBLUN06
ITM,ENMORN,item-ground,GBLUN06
ITM,FINSOL02,item-ground,GBLUN06
ITM,FLOLTH,item-ground,GBLUN06
ITM,GORWOM4,item-ground,GBLUN06
ITM,HLOLTH,item-ground,GBLUN06
ITM,IBLUN04,item-ground,GBLUN06
ITM,OHBDEVA,item-ground,GBLUN06
ITM,PLYMSTAR,item-ground,GBLUN06
ITM,RODMACE,item-ground,GBLUN06
ITM,SENDAI,item-ground,GBLUN06
ITM,WAFLAIL,item-ground,GBLUN06
ITM,WAMACE,item-ground,GBLUN06
ITM,WASTAR,item-ground,GBLUN06
ITM,BOLT01,item-ground,GBOLT01
ITM,BOLT02,item-ground,GBOLT01
ITM,BOLT03,item-ground,GBOLT01
ITM,BOLT04,item-ground,GBOLT01
ITM,BOLT05,item-ground,GBOLT01
ITM,BOLT06,item-ground,GBOLT01
ITM,BOLT08,item-ground,GBOLT01
ITM,BOLT09,item-ground,GBOLT01
ITM,DWBOLT01,item-ground,GBOLT01
ITM,DWBOLT02,item-ground,GBOLT01
ITM,DWBOLT03,item-ground,GBOLT01
ITM,KUOBOLT,item-ground,GBOLT01
ITM,KUOBOLT2,item-ground,GBOLT01
ITM,KUOBOLT3,item-ground,GBOLT01
ITM,MDK2BUL2,item-ground,GBOLT01
ITM,MDK2BULL,item-ground,GBOLT01
ITM,MDK2MTOV,item-ground,GBOLT01
ITM,MISC6W,item-ground,GBOLT01
